Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,lead_time
US-2021-115791-CHO-TRI-54000,2024-01-16,2026-11-07,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,1026
US-2021-115791-CHO-SCR-58000,2024-01-16,2026-11-07,Second Class,115791,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,1026
US-2021-123477-CHO-NUT-13000,2024-01-18,2026-07-14,Second Class,123477,United States,Springfield,Oregon,97477,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,908
US-2021-146591-CHO-TRI-54000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,906
US-2021-146591-CHO-FUD-51000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,36.0,10,24.0,12.0,906
US-2021-146591-CHO-FUD-51000,2024-01-19,2026-07-13,First Class,146591,United States,Scottsdale,Arizona,85254,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,906
US-2021-147627-CHO-TRI-54000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,911
US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,911
US-2021-147627-CHO-MIL-31000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,911
US-2021-148614-CHO-MIL-31000,2024-01-20,2026-07-18,Standard Class,148614,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,910
US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,911
US-2021-147627-CHO-TRI-54000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,911
US-2021-147627-CHO-SCR-58000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,911
US-2021-167927-CHO-NUT-13000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,911
US-2021-167927-CHO-MIL-31000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,911
US-2021-147774-CHO-NUT-13000,2024-01-20,2026-07-19,Standard Class,147774,United States,Smyrna,Tennessee,37167,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,911
US-2021-167927-CHO-TRI-54000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,911
US-2021-147627-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,911
US-2021-148614-CHO-SCR-58000,2024-01-20,2026-07-18,Standard Class,148614,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,910
US-2021-167927-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,911
US-2021-167927-CHO-MIL-31000,2024-01-20,2026-07-19,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,911
US-2021-147627-CHO-FUD-51000,2024-01-20,2026-07-19,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,911
US-2021-110422-CHO-TRI-54000,2024-01-21,2026-07-16,Second Class,110422,United States,Miami,Florida,33180,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,907
CA-2021-115238-CHO-FUD-51000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,10035,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,908
CA-2021-115238-CHO-MIL-31000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,10035,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,908
CA-2021-115238-CHO-TRI-54000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,10035,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,908
CA-2021-115238-CHO-FUD-51000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,10035,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,908
CA-2021-115238-CHO-MIL-31000,2024-01-21,2026-07-17,Standard Class,115238,Canada,Toronto,Ontario,10035,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,32.5,10,21.1,11.4,908
US-2021-146997-CHO-TRI-54000,2024-01-23,2026-07-20,Standard Class,146997,United States,Lafayette,Indiana,47905,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,909
US-2021-102645-CHO-FUD-51000,2024-01-23,2026-07-21,Standard Class,102645,United States,Las Vegas,Nevada,89115,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,21.6,6,14.4,7.2,910
US-2021-167997-CHO-TRI-54000,2024-01-26,2026-07-22,First Class,167997,United States,Rapid City,South Dakota,57701,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,908
US-2021-155502-CHO-MIL-31000,2024-01-26,2026-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,910
US-2021-155502-CHO-MIL-31000,2024-01-26,2026-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,910
US-2021-155502-CHO-TRI-54000,2024-01-26,2026-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,910
US-2021-155502-CHO-MIL-31000,2024-01-26,2026-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,26.0,8,16.88,9.12,910
US-2021-155502-CHO-FUD-51000,2024-01-26,2026-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,910
US-2021-155502-CHO-MIL-31000,2024-01-26,2026-07-24,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,42.25,13,27.43,14.82,910
US-2021-117163-CHO-NUT-13000,2024-01-27,2026-07-26,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,911
US-2021-117163-CHO-TRI-54000,2024-01-27,2026-07-26,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,911
US-2021-117163-CHO-SCR-58000,2024-01-27,2026-07-26,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,911
US-2021-100328-CHO-MIL-31000,2024-01-28,2026-07-27,Standard Class,100328,United States,New York City,New York,10024,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,911
US-2021-134103-CHO-NUT-13000,2024-01-30,2026-07-28,Standard Class,134103,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,910
US-2021-115161-CHO-MIL-31000,2024-01-31,2026-07-26,First Class,115161,United States,Mission Viejo,California,92691,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,907
US-2021-140795-CHO-SCR-58000,2024-01-02,2026-07-27,First Class,140795,United States,Green Bay,Wisconsin,54302,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15.0,6.6,937
US-2021-123400-CHO-MIL-31000,2024-02-02,2026-02-08,Standard Class,123400,United States,Saint Petersburg,Florida,33710,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,737
US-2021-139857-CHO-FUD-51000,2024-02-02,2026-07-30,Standard Class,139857,United States,San Diego,California,92037,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,909
US-2021-123400-CHO-TRI-54000,2024-02-02,2026-02-08,Standard Class,123400,United States,Saint Petersburg,Florida,33710,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,737
US-2021-111059-CHO-NUT-13000,2024-03-02,2026-07-30,Second Class,111059,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,880
US-2021-111059-CHO-SCR-58000,2024-03-02,2026-07-30,Second Class,111059,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,880
US-2021-104808-CHO-FUD-51000,2024-04-02,2026-01-08,Second Class,104808,United States,Escondido,California,92025,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,646
US-2021-107181-CHO-TRI-54000,2024-04-02,2026-01-08,Standard Class,107181,United States,San Diego,California,92024,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,646
US-2021-107181-OTH-KAZ-38000,2024-04-02,2026-01-08,Standard Class,107181,United States,San Diego,California,92024,Other,Pacific,OTH-KAZ-38000,Kazookles,13.0,4,1.0,12.0,646
US-2021-108182-CHO-NUT-13000,2024-06-02,2026-03-08,Second Class,108182,United States,Romeoville,Illinois,60441,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,644
US-2021-131905-CHO-TRI-54000,2024-06-02,2026-02-08,First Class,131905,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,616
US-2021-131905-CHO-NUT-13000,2024-06-02,2026-02-08,First Class,131905,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,616
US-2021-131905-CHO-MIL-31000,2024-06-02,2026-02-08,First Class,131905,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,616
US-2021-169390-CHO-MIL-31000,2024-07-02,2026-03-08,Second Class,169390,United States,New York City,New York,10024,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,614
US-2021-107755-CHO-FUD-51000,2024-07-02,2026-05-08,Standard Class,107755,United States,Linden,New Jersey,7036,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,675
US-2021-125759-OTH-GUM-21000,2024-08-02,2026-02-08,First Class,125759,United States,North Las Vegas,Nevada,89031,Other,Pacific,OTH-GUM-21000,Wonka Gum,2.5,2,1.3,1.2,555
US-2021-168368-CHO-TRI-54000,2024-11-02,2026-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,644
US-2021-168368-CHO-TRI-54000,2024-11-02,2026-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,644
US-2021-127614-CHO-MIL-31000,2024-11-02,2026-08-08,Standard Class,127614,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,644
US-2021-127614-CHO-MIL-31000,2024-11-02,2026-08-08,Standard Class,127614,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,644
US-2021-168368-CHO-NUT-13000,2024-11-02,2026-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,644
US-2021-168368-CHO-SCR-58000,2024-11-02,2026-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,644
US-2021-168368-CHO-SCR-58000,2024-11-02,2026-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,644
US-2021-168368-CHO-TRI-54000,2024-11-02,2026-08-08,Second Class,168368,United States,Columbia,Missouri,65203,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,644
US-2021-127614-CHO-SCR-58000,2024-11-02,2026-08-08,Standard Class,127614,United States,Chesapeake,Virginia,23320,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,644
US-2021-110674-CHO-SCR-58000,2024-12-02,2026-11-08,Standard Class,110674,United States,Concord,California,94521,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,706
US-2021-121762-CHO-FUD-51000,2024-02-14,2026-11-08,Standard Class,121762,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,998
US-2021-107706-CHO-MIL-31000,2024-02-14,2026-12-08,Second Class,107706,United States,Houston,Texas,77095,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,1028
US-2021-121762-CHO-SCR-58000,2024-02-14,2026-11-08,Standard Class,121762,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,998
US-2021-121762-CHO-SCR-58000,2024-02-14,2026-11-08,Standard Class,121762,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,998
US-2021-165568-CHO-SCR-58000,2024-02-15,2026-12-08,Standard Class,165568,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,1027
US-2021-122567-CHO-FUD-51000,2024-02-16,2026-08-14,Standard Class,122567,United States,Dallas,Texas,75220,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,910
US-2021-122567-CHO-TRI-54000,2024-02-16,2026-08-14,Standard Class,122567,United States,Dallas,Texas,75220,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,910
US-2021-154165-CHO-MIL-31000,2024-02-17,2026-08-17,Standard Class,154165,United States,Chicago,Illinois,60653,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,45.5,14,29.54,15.96,912
US-2021-165589-CHO-TRI-54000,2024-02-18,2026-11-08,Same Day,165589,United States,Lubbock,Texas,79424,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,994
US-2021-152905-CHO-FUD-51000,2024-02-18,2026-08-17,Standard Class,152905,United States,Arlington,Texas,76017,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,911
US-2021-109491-CHO-MIL-31000,2024-02-20,2026-08-19,Standard Class,109491,United States,Richmond,Indiana,47374,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,911
US-2021-164903-CHO-SCR-58000,2024-02-20,2026-08-17,Standard Class,164903,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,909
US-2021-109491-CHO-MIL-31000,2024-02-20,2026-08-19,Standard Class,109491,United States,Richmond,Indiana,47374,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,911
US-2021-165540-CHO-TRI-54000,2024-02-21,2026-08-18,Standard Class,165540,United States,Woodstock,Illinois,60098,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,909
US-2021-133354-CHO-NUT-13000,2024-02-22,2026-08-17,First Class,133354,United States,Moreno Valley,California,92553,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,907
